source,target,p_val,lag
NEE,NVDA,0.009082534885665038,2
NEE,SLB,0.00267447441422614,3
NEE,UNH,0.004479301423537304,3
NEE,UPS,0.0007207634480276181,5
NEE,V,0.0004811612115310883,4
NEE,WMT,0.0074584305824403965,1
NEE,XOM,0.004451427264263444,2
NKE,AMZN,0.021578721032206035,1
NKE,BA,0.007311551200740738,1
NKE,COP,0.032055650726785886,2
NKE,HD,0.02159604735850652,2
NKE,JNJ,0.0027977350421962525,5
NKE,WMT,0.002148504393370798,1
NKE,XOM,0.04441076222119343,2
NVDA,COP,0.01718844082037182,2
NVDA,CVX,0.03638688247267013,2
NVDA,HD,0.010812795701807085,2
NVDA,JNJ,0.015924831627592527,1
NVDA,NKE,0.04446524639723643,1
NVDA,SLB,0.03862425660992102,2
NVDA,UNH,0.0053474490318675665,2
NVDA,XOM,0.006701998303911501,2
PFE,AAPL,0.007708592330183354,2
PFE,BA,0.0001967967777134951,1
PFE,BAC,0.032074505975882406,1
PFE,COP,0.013218353959665773,5
PFE,CVX,0.00045707239771105933,5
PFE,GE,0.034829688491154295,1
PFE,GOOGL,0.04668547182755207,1
PFE,GS,0.019694173123180166,1
PFE,HD,0.023487655006241365,1
PFE,JPM,0.025417948379070594,1
PFE,META,0.006334386808514366,2
PFE,MSFT,0.013420983660039017,2
PFE,NKE,0.04168779478463965,2
PFE,UPS,0.013484910144532422,1
PFE,XOM,0.016986706404823082,1
SLB,AAPL,5.352098893894572e-07,4
SLB,AMZN,0.0038248462772778025,2
SLB,BA,0.008196697561278476,5
SLB,BAC,0.004985601684353682,3
SLB,BRK-B,0.04730878476867657,3
SLB,CVX,3.445943570980023e-05,4
SLB,GOOGL,0.002187113310899099,2
SLB,GS,0.00024219904898625992,3
SLB,HD,6.209375091336323e-07,3
SLB,HON,0.00018950950695499323,3
SLB,JNJ,1.2284843012770735e-05,3
SLB,LLY,0.028048915307525936,2
SLB,META,0.0009360907693008892,4
SLB,MSFT,4.04438858174395e-07,4
SLB,NEE,9.562020053851455e-08,3
SLB,NKE,0.004612535643576456,3
SLB,NVDA,0.0001228180453524504,4
SLB,PFE,0.0009320052826026039,2
SLB,TSLA,0.02326247592083504,3
SLB,V,0.002301420809252061,4
SLB,WMT,2.1132098433871178e-07,4
SLB,XOM,0.0011389738897686734,4
TSLA,AAPL,0.023135470070649065,3
TSLA,BA,0.018284019016937967,2
TSLA,GOOGL,0.01890319229173782,2
